#######################
##
## License goes here
##
#######################
a	ɑ
ketten	kætən
kiche	kiɕə
kichebriet	kiɕəbʀiət
kichelche	kiɕəlɕə
kichelchen	kiɕəlɕən
kichemesser	kiɕəmæsɐ
kichen	kiɕən
kichendësch	kiɕəndəʃ
kichenduch	kiɕənduχ
kicheschaf	kiɕəʃaːf
kichestull	kiɕəʃtul
kichewo	kiɕəvoː
kickele	kikələ
kickelen	kikələn
kidnappéiere	kitnɑpɜɪəʀə
kidnappéieren	kitnɑpɜɪəʀən
kierb	kiːɐp
kierbiischt	kiːɐbiːʃt
kierch	kiːɐɕ
kiere	kiːɐʀə
kieren	kiːɐʀən
kierfche	kiːɐfɕə
kierfchen	kiːɐfɕən
kierfecht	kiːɐfəɕt
kiermes	kiːɐməs
kierper	kiːɐpɐ
kierze	kiːɐtsə
kierzen	kiːɐtsən
kierzlech	kiːɐtsləɕ
kiewerlek	kiəvɐlek
kiischt	kiːʃt
kiischtche	kiːʃtɕə
kiischtchen	kiːʃtɕən
kiischtebam	kiːʃtəbaːm
kill	kil
kille	kilə
killen	kilən
kilo	kiloː
kilometer	kilomeːtɐ
king	kiŋ
kinge	kiŋə
kingen	kiŋən
kinnek	kinek
kinnigin	kinigin
kino	kinoː
kippe	kipə
kippen	kipən
kiselstee	kizəlʃteː
kiselsteen	kizəlʃteːn
kitsch	kitʃ
kitscheg	kitʃəɕ
kiwwel	kivəl
klaatsch	klaːtʃ
klaatsche	klaːtʃə
klaatschen	klaːtʃən
klabbere	klɑbəʀə
klabberen	klɑbəʀən
klack	klɑk
klackespill	klɑkəʃpil
klam	klaːm
klamme	klɑmə
klammen	klɑmən
klape	klaːpə
klapen	klaːpən
klappbar	klɑpbaːʀ
klappe	klɑpə
klappen	klɑpən
kläpperei	klæpəʀɑɪ
klapplued	klɑpluət
klarinett	klɑʀinæt
klass	klɑs
klätsche	klætʃə
klätschen	klætʃən
klatz	klɑts
klatzkapp	klɑtskɑp
klatzkäppeg	klɑtskæpəɕ
klaue	klɑʊə
klauen	klɑʊən
klauschter	klæːʊʃtɐ
kleed	kleːt
kleedche	kleːtɕə
kleedchen	kleːtɕən
kleederbigel	kleːdɐbiʑəl
kleederbiischt	kleːdɐbiːʃt
kleedergeschäft	kleːdɐgəʃæft
kleederschaf	kleːdɐʃaːf
kleedung	kleːduŋ
kleesche	kleːsjə
kleeschen	kleːsjən
kleesper	kleːspɐ
kléi	klɜɪ
kleng	klæŋ
klénge	kleŋə
klengegkeet	klæŋəɕkeːt
kléngen	kleŋən
klenglech	klæŋləɕ
klensch	klænʃ
klëppelsteng	kləpəlʃtæŋ
klibber	klibɐ
klima	kliːmaː
klinik	klinik
klinzeg	klintsəɕ
klippe	klipə
klippen	klipən
klo	kloː
kloe	kloːə
kloen	kloːən
kloer	kloːɐ
klomp	klomp
klotere	kloːtəʀə
kloteren	kloːtəʀən
klouschter	kləʊʃtɐ
kluck	kluk
kludder	kludɐ
klunsch	klunʃ
klunschele	klunʃələ
klunschelen	klunʃələn
knabbele	knɑbələ
knabbelen	knɑbələn
knabbere	knɑbəʀə
knabberen	knɑbəʀən
knache	knɑχə
knachen	knɑχən
knae	knaːə
knaen	knaːən
knäipche	knæːɪpɕə
knäipchen	knæːɪpɕən
knäipe	knæːɪpə
knäipen	knæːɪpən
knapp	knɑp
knäpplach	knæplɑχ
knapps	knɑps
knascht	knɑʃt
knaschteg	knɑʃtəɕ
knätsch	knætʃ
knätsche	knætʃə
knätschen	knætʃən
knätzele	knætsələ
knätzelen	knætsələn
knausereg	knɑʊzəʀəɕ
knéchele	knəɕələ
knéchelen	knəɕələn
knéckeg	knekəɕ
knéckjang	knekʒɑŋ
knéi	knɜɪ
knéie	knɜɪə
knéien	knɜɪən
knéischeif	knɜɪʃɑɪf
knëppel	knəpəl
knëppelsteng	knəpəlʃtæŋ
kniddel	knidəl
kniede	kniədə
knieden	kniədən
kniff	knif
knippche	knipɕə
knippchen	knipɕən
knipse	knipsə
knipsen	knipsən
kniwwele	knivələ
kniwwelen	knivələn
knosp	knosp
knoutere	knəʊtəʀə
knoutereg	knəʊtəʀəɕ
knouteren	knəʊtəʀən
knubbeleg	knubələɕ
knuet	knuət
knuewelek	knuəvəlek
knupp	knup
knuppe	knupə
knuppen	knupən
köder	køːdɐ
koffer	kofɐ
kokett	kokæt
kolleg	koleːɕ
kollegin	koleːʑin
kolonn	kolon
komerod	koməʀoːt
komesch	koːməʃ
komiker	koːmikɐ
komma	komaː
kommandéiere	komɑndɜɪəʀə
kommandéieren	komɑndɜɪəʀən
komme	komə
kommen	komən
kommissioun	komisjəʊn
komp	komp
kompass	kompɑs
kompetenz	kompeːtænts
kompliment	komplimænt
komplizéiert	komplitsɜɪɐt
komplottéiere	komplotɜɪəʀə
komplottéieren	komplotɜɪəʀən
komponist	komponist
konditioun	konditsjəʊn
konfus	konfuːs
konnschaft	konʃɑft
konscht	konʃt
konschtwierk	konʃtviːɐk
konserv	konzɛʀf
konserven	konzɛʀvən
konsonant	konzonɑnt
kont	kont
kontabilitéit	kontɑbilitɜɪt
kontakt	kontɑkt
kontrolléiere	kontʀolɜɪəʀə
kontrolléieren	kontʀolɜɪəʀən
kontroller	kontʀolɐ
kontrolltuerm	kontʀoltuːɐm
kopéiere	kopɜɪəʀə
kopéieren	kopɜɪəʀən
kopi	kopi
koppel	kopəl
kopplabunz	koplɑbunts
kork	koχk
korrespondenten	koʀæspondæntən
koschter	koʃtɐ
koschtere	koʃtəʀə
koschteren	koʃtəʀən
koseng	kozeŋ
kostüm	kostym
kotlett	kotlæt
kotteng	koteŋ
kou	kəʊ
kouert	kəʊɐt
koup	kəʊp
koustall	kəʊʃtɑl
koz	koːts
kraache	kʀaːχə
kraachen	kʀaːχən
kraaft	kʀaːft
krabb	kʀɑp
krabbe	kʀɑbə
krabben	kʀɑbən
kräid	kʀæːɪt
kräijong	kʀæːɪjoŋ
kräische	kʀæːɪʃə
kräischen	kʀæːɪʃən
kräiz	kʀæːɪts
kräize	kʀæːɪtsə
kräizen	kʀæːɪtsən
kräizung	kʀæːɪtsuŋ
krall	kʀɑl
kramp	kʀɑmp
kran	kʀaːn
krank	kʀɑŋk
krankeschwëster	kʀɑŋkəʃwəstɐ
krankheet	kʀɑŋkheːt
krankheetskeim	kʀɑŋkheːtskɑɪm
kranz	kʀɑnts
krapp	kʀɑp
krappeg	kʀɑpəɕ
krauche	kʀæːʊχə
krauchen	kʀæːʊχən
krausel	kʀɑʊzəl
krauseleg	kʀɑʊzələɕ
kraut	kʀæːʊt
krawatt	kʀɑvɑt
kraze	kʀaːtsə
krazen	kʀaːtsən
kréckele	kʀekələ
kréckelen	kʀekələn
kreditkaart	kʀeditkaːʀt
kreemche	kʀeːmɕə
kreemchen	kʀeːmɕən
krees	kʀeːs
kreesch	kʀeːʃ
kregéile	kʀəgɜɪlə
kregéilen	kʀəgɜɪlən
kréi	kʀɜɪ
kréie	kʀɜɪə
kréien	kʀɜɪən
kréiena	kʀɜɪənaː
kréimer	kʀɜɪmɐ
kréischel	kʀɜɪʃəl
kréischelsheck	kʀɜɪʃəlshæk
krëpeng	kʀəpeŋ
krëpp	kʀəp
krëppel	kʀəpəl
krëppeleg	kʀəpələɕ
kretsch	kʀætʃ
krich	kʀiɕ
kriddeleg	kʀidələɕ
kriibs	kʀiːps
krimi	kʀimiː
kristall	kʀistɑl
kriten	kʀiːtən
kritiséiere	kʀitizɜɪəʀə
kritiséieren	kʀitizɜɪəʀən
krokodill	kʀokodil
krom	kʀoːm
kromm	kʀom
krop	kʀoːp
krou	kʀəʊ
kroun	kʀəʊn
krunn	kʀun
kruppschank	kʀupʃɑŋk
krut	kʀuːt
kruten	kʀuːtən
kuch	kuχ
kucke	kukə
kucken	kukən
kuddelfleck	kudəlflæk
kueb	kuəp
kuebe	kuəbə
kueben	kuəbən
kueder	kuədɐ
kuel	kuəl
kuerf	kuːɐf
kuerz	kuːɐts
kuerze	kuːɐtsə
kuerzen	kuːɐtsən
kuerzsichteg	kuːɐtsziɕtəɕ
kugel	kuʁəl
kulang	kulɑŋ
kulisse	kulise
kulissen	kulisen
kummer	kumɐ
künstler	kynstlɐ
kupplung	kupluŋ
kur	kuːɐ
kurzschluss	kuːɐtsʃlus
kuss	kus
kuuscht	kuːʃt
kuuschteg	kuːʃtəɕ
kuuschtert	kuːʃtɐt
laach	laːχ
laache	laːχə
laachen	laːχən
laang	laːŋ
laanscht	laːnʃt
laanschtkomme	laːnʃtkomə
laanschtkommen	laːnʃtkomən
laascht	laːʃt
labber	lɑbɐ
lach	lɑχ
lächele	læɕələ
lächelen	læɕələn
lächerlech	læɕɐləɕ
lackele	lɑkələ
lackeleg	lɑkələɕ
lackelen	lɑkələn
laf	laːf
lafe	laːfə
lafen	laːfən
läffel	læfəl
läffelsgeschir	læfəlsgəʃiːɐ
läich	læːɪɕ
läif	læːɪf
läilech	læːɪləɕ
läinduch	læːɪnduχ
läinzeeche	læːɪntseːɕə
läinzeechen	læːɪntseːɕən
laitue	lɛːtyː
lämmche	læmɕə
lämmchen	læmɕən
land	lɑnt
lande	lɑndə
landen	lɑndən
landkaart	lɑntkaːʀt
landschaft	lɑntʃɑft
landstrooss	lɑntʃtʀoːs
landung	lɑnduŋ
landwirt	lɑntviʀt
länge	læŋə
längen	læŋən
längt	læŋt
langust	lɑŋgust
langweil	lɑŋvɑɪl
langweile	lɑŋvɑɪlə
langweileg	lɑŋvɑɪləɕ
langweilen	lɑŋvɑɪlən
lann	lɑn
lanz	lɑnts
läppche	læpɕə
läppchen	læpɕən
läsche	læʃə
läschen	læʃən
lass	lɑs
lassgi	lɑsgi
lassginn	lɑsgin
lassgoe	lɑsgoːə
lassgoen	lɑsgoːən
lassloosse	lɑsloːsə
lassloossen	lɑsloːsən
lästeg	læstəɕ
lastik	lɑstik
laude	lɑʊdə
lauden	lɑʊdən
lauer	lɑʊɐ
lauere	lɑʊəʀə
laueren	lɑʊəʀən
laufbursch	lɑʊfbuʀʃ
laun	lɑʊn
launesch	lɑʊnəʃ
laus	læːʊs
lauschtere	læːʊʃtəʀə
lauschteren	læːʊʃtəʀən
lauter	læːʊtɐ
lautspriecher	læːʊtʃpʀiəɕɐ
lavabo	lɑvɑboː
lavendel	lɑvændəl
lawin	lɑviːn
lecke	lækə
lecken	lækən
lee	leː
leechne	leːɕnə
leechnen	leːɕnən
leed	leːt
leede	leːdə
leeden	leːdən
leeder	leːdɐ
leeën	leːən
leem	leːm
leeschte	leːʃtə
leeschten	leːʃtən
leeschtung	leːʃtuŋ
lëfte	ləftə
lëften	ləftən
leide	lɑɪdə
leiden	lɑɪdən
leidenschaft	lɑɪdənʃɑft
leider	lɑɪdɐ
leie	lɑɪə
léie	lɜɪə
leien	lɑɪən
léien	lɜɪən
leier	lɑɪɐ
léier	lɜɪɐ
léierbouf	lɜɪɐbəʊf
leiere	lɑɪəʀə
léiere	lɜɪəʀə
leieren	lɑɪəʀən
léieren	lɜɪəʀən
léierin	lɜɪəʀin
léierjong	lɜɪɐjoŋ
léif	lɜɪf
léift	lɜɪft
léine	lɜɪnə
léinen	lɜɪnən
léise	lɜɪzə
léisegeld	lɜɪzəgælt
léisen	lɜɪzən
léislech	lɜɪsləɕ
léisung	lɜɪzuŋ
leit	lɑɪt
leitung	lɑɪtuŋ
léiw	lɜɪf
léiweckelche	lɜɪvækəlɕə
léiweckelchen	lɜɪvækəlɕən
léiwemailche	lɜɪvəmɑɪlɕə
léiwemailchen	lɜɪvəmɑɪlɕən
lektioun	læksjəʊn
lëmmel	ləməl
lëmmelzeg	ləməltsəɕ
léngent	leŋənt
léngt	leŋt
lénks	leŋks
lënnere	lənəʀə
lënneren	lənəʀən
lëns	ləns
leopard	leopaːʀt
lëppestëft	ləpəʃtəft
lëps	ləps
lescht	læʃt
lëscht	ləʃt
leschte	læʃtə
lëschteg	ləʃtəɕ
leschten	læʃtən
lëtzebuerg	lətsəbuːɐɕ
lëtzebuerger	lətsəbuːɐjɐ
lëtzebuergerin	lətsəbuːɐjəʀin
lëtzebuergesch	lətsəbuːɐjəʃ
libell	libæl
liberal	libəʀaːl
librairie	libʀæʀiː
lidd	lit
liddereg	lidəʀəɕ
lidderhanes	lidɐhaːnəs
lieder	liədɐ
liefkuch	liəfkuχ
lies	liəs
liese	liəzə
liesen	liəzən
lieser	liəzɐ
liewe	liəve
lieweg	liəvəɕ
liewen	liəven
liewer	liəveʀ
liewerkniddel	liəveʀknidəl
liewesgeféierlech	liəvesgəfɜɪɐləɕ
lieweskraaft	liəveskʀaːft
liewesmidd	liəvesmit
liewesraum	liəvesʀæːʊm
lift	lift
lige	liʑə
ligen	liʑən
ligener	liʑənɐ
ligestull	liːʑəʃtul
liicht	liːɕt
liichtegkeet	liːɕtəɕkeːt
liichtmëssdag	liːɕtməsdaːχ
liichtsënneg	liːɕtzənəɕ
limonad	limonaːt
lineal	lineaːl
liter	litɐ
living	liviŋ
liwwere	livəʀə
liwweren	livəʀən
liwwerwon	livɐvoːn
lo	loː
locataire	lokɑtɛːʀ
loft	loft
loftballon	loftbɑlɑ̃ː
lokomotiv	lokomotiːf
lokomotiven	lokomotiːvən
lokomotivführer	lokomotiːffyːʀɐ
lomp	lomp
long	loŋ
loosse	loːsə
loossen	loːsən
lorberblat	lɔʀbɐblaːt
losange	lozɑ̃ːʃ
loscht	loʃt
louche	luʃ
loun	ləʊn
loune	ləʊnə
lounen	ləʊnən
lous	ləʊs
loyer	lwɑjeː
luede	luədə
lueden	luədən
luef	luəf
lues	luəs
lupp	lup
lüster	lystɐ
lut	luːt
lutsch	lutʃ
lutsche	lutʃə
lutschen	lutʃən
luucht	luːχt
luuchteschalter	luːχtəʃɑltɐ
luusse	luːsə
luusseg	luːsəɕ
luussen	luːsən
luxuriéis	luksuʀjɜɪs
luxus	luksus
lycée	liseː
ma	mɑ
maache	maːχə
maachen	maːχən
maans	maːns
maart	maːʀt
maartplaz	maːʀtplaːts
mächteg	mæɕtəɕ
mackeg	mɑkəɕ
madame	mɑdɑm
mäerche	mɛɐɕə
mäerchen	mɛɐɕən
mäerder	mɛɐdɐ
mäerderesch	mɛɐdəʀəʃ
mäerz	mɛɐts
magnéit	mɑgnɜɪt
mäifelche	mæːɪfəlɕə
mäifelchen	mæːɪfəlɕən
maillot	mɑjoː
mäin	mæːɪn
malaise	mɑlɛːs
malentendu	mɑlɑ̃ːntɑ̃ːndyː
malle	mɑl
mam	mɑm
mama	mɑmaː
manchett	mɑ̃ːʃæt
mandel	mɑndəl
mandele	mɑndələ
mandelen	mɑndələn
manéierlech	mɑnɜɪɐləɕ
manktem	mɑŋktəm
mann	mɑn
manner	mɑnɐ
mannerjäreg	mɑnɐjɛːʀəɕ
männlech	mænləɕ
mansard	mɑ̃ːsaːʀ
mantel	mɑntəl
mantelbriet	mɑntəlbʀiət
mapp	mɑp
mar	maːʀ
marber	mɑʀbɐ
märei	mæʀɑɪ
märel	mɛːʀəl
margréitche	maːʀgʀɜɪtɕə
margréitchen	maːʀgʀɜɪtɕən
marionett	mɑʀionæt
masch	mɑʃ
mask	mɑsk
maskéieren	mɑskɜɪəʀən
mass	mɑs
massage	mɑsaːʃ
massaker	mɑsɑkɐ
masseg	mɑsəɕ
masseur	mɑsœːʀ
masseuse	mɑsøːs
mast	mɑst
mastik	mɑstik
masutt	mɑzut
mat	mɑt
matbrénge	mɑtbʀeŋə
matbréngen	mɑtbʀeŋən
matdeele	mɑtdeːlə
matdeelen	mɑtdeːlən
matenee	mɑdəneː
mateneen	mɑdəneːn
material	mɑteʀjaːl
matgoe	mɑtgoːə
matgoen	mɑtgoːən
mathematik	mɑtemaːtik
mathuele	mɑthuələ
mathuelen	mɑthuələn
matleed	mɑtleːt
matrass	mɑtʀɑs
matrous	mɑtʀəʊs
matschaffe	mɑtʃɑfə
matschaffen	mɑtʃɑfən
matt	mɑt
mauer	mɑʊɐ
maufel	mæːʊfəl
maulef	mæːʊləf
maulkuerf	mæːʊlkuːɐf
maus	mæːʊs
mauséiercheszalot	mɑʊzɜɪɐɕəstsɑloːt
mécanicien	meːkɑnisjɛ̃ː
mech	məɕ
méchs	məɕs
méck	mek
meckere	mækəʀə
meckeren	mækəʀən
medail	mədɑɪl
medezin	mədətsin
medikament	meːdikɑmænt
mee	meː
meedche	meːtɕə
meedchen	meːtɕən
meederchesnumm	meːdɐɕəsnum
meenung	meːnuŋ
meeréische	meːʀɜɪsjə
meeréischen	meːʀɜɪsjən
meescht	meːʃt
meeschtens	meːʃtəns
meeschter	meːʃtɐ
meessel	meːsəl
meessele	meːsələ
meesselen	meːsələn
mehrzahl	meːɐtsaːl
méi	mɜɪ
meide	mɑɪdə
meiden	mɑɪdən
méie	mɜɪə
méien	mɜɪən
méiglech	mɜɪʑləɕ
méiglechkeet	mɜɪʑləɕkeːt
méiglechst	mɜɪʑləɕst
méimaschinn	mɜɪmɑʃin
méindeg	mɜɪndəɕ
méindes	mɜɪndəs
méintlaang	mɜɪntlaːŋ
méisseg	mɜɪsəɕ
méiw	mɜɪf
méiwe	mɜɪvə
méiwen	mɜɪvən
melde	mældə
melden	mældən
meldung	mælduŋ
mëll	məl
melle	mælə
mëllech	mələɕ
mëllechquoten	mələɕkwoːtən
mëllechzant	mələɕtsɑnt
mellen	mælən
mëller	məlɐ
meloun	mələʊn
mëlz	məlts
member	mɑ̃ːmbɐ
memberen	mɑ̃ːmbəʀən
mëndlech	məndləɕ
mëndlecht	məndləɕt
meng	meŋ
menge	mæŋə
menge	meŋə
mengem	meŋəm
mengen	mæŋən
mengen	meŋən
menger	meŋɐ
mënsch	mənʃ
mënschlech	mənʃləɕ
menu	mənyː
menuskaart	mənyːskaːʀt
mënz	mənts
mer	mɐ
merci	mɛʀsiː
meringue	məʀɛ̃ːŋk
meringuen	məʀɛ̃ːŋgən
mësch	məʃ
mësche	məʃə
mëschen	məʃən
mëscht	məʃt
mëschung	məʃuŋ
message	mæsaːʃ
mëssbrauch	məsbʀæːʊχ
mëssbrauche	məsbʀæːʊχə
mëssbrauchen	məsbʀæːʊχən
messer	mæsɐ
mësserfolleg	məzɐfoləɕ
mëssgeschéck	məsgəʃek
mësstraue	məstʀɑʊə
mësstrauen	məstʀɑʊən
mësstrauesch	məstʀɑʊəʃ
meter	meːtɐ
mëtt	mət
mëtteg	mətəɕ
mëttegiesse	mətəɕiəsə
mëttegiessen	mətəɕiəsən
mëttelméisseg	mətəlmɜɪsəɕ
mëttelste	mətəlstə
mëttelsten	mətəlstən
mëtternuecht	mətɐnuəɕt
mëttes	mətəs
mëttespaus	mətəspɑʊs
mëttesrascht	mətəsʀɑʃt
mëttwoch	mətwoχ
mëttwochs	mətwoχs
metzler	mætslɐ
metzlerei	mætsləʀɑɪ
miaue	miːɑʊə
miauen	miːɑʊən
midd	mit
middegkeet	midəɕkeːt
miel	miəl
mier	miːɐ
mierf	miːɐf
mierke	miːɐkə
mierken	miːɐkən
mierschwéngche	miːɐʃweŋɕə
mierschwéngchen	miːɐʃweŋɕən
mierstär	miːɐʃtɛːɐ
migrän	migʀɛːn
miissche	miːsjə
miisschen	miːsjən
miissercher	miːsɐɕɐ
mikro	mikʀoː
mille	milə
millen	milən
minister	ministɐ
minn	min
minus	miːnus
minutt	minut
mippche	mipɕə
mippchen	mipɕən
mir	miːɐ
misär	mizɛːʀ
miwléiere	mivlɜɪəʀə
miwléieren	miflɜɪəʀən
miwwel	mivəl
mixer	miksɐ
mo	moː
mobiliséiere	mobilizɜɪəʀə
mobiliséieren	mobilizɜɪəʀən
mockeleg	mokələɕ
modell	modæl
modern	modɛʀn
moer	moːɐ
mof	moːf
moie	mojə
moien	mojən
moies	mojəs
mokuch	moːkuχ
mol	moːl
molbier	moːlbiːɐ
mole	moːlə
molen	moːlən
moler	moːlɐ
molstëfter	moːlʃtəftɐ
moment	momænt
momper	mompɐ
mond	mont
mondharmonika	monthɑʀmoːnikaː
moniteur	monitœːʀ
monnerech	monəʀəɕ
monni	moniː
monsieur	məsjøː
monster	monstɐ
montéiere	mɑ̃ːtɜɪəʀə
montéieren	mɑ̃ːtɜɪəʀən
monter	montɐ
monterkeet	montɐkeːt
moolzecht	moːltsəɕt
moos	moːs
mooss	moːs
moosse	moːsə
moossen	moːsən
mopp	mop
mord	mɔʀt
moschter	moʃtɐ
moschtert	moʃtɐt
moss	mos
motivéiere	motivɜɪəʀə
motivéieren	motivɜɪəʀən
motor	motoːʀ
motorboot	motoːʀboːt
motorrad	motoːʀʀaːt
motze	motsə
motzen	motsən
moud	məʊt
mouk	məʊk
mound	məʊnt
mount	məʊnt
moustique	mustik
muckse	muksə
mucksen	muksən
mudder	mudɐ
mudderschrauf	mudɐʃʀɑʊf
mued	muət
muedebëtzeg	muədəbətsəɕ
muele	muələ
muelen	muələn
muer	muːɐ
muerch	muːɐɕ
muere	muːɐʀə
mueren	muːɐʀən
mueres	muːɐʀəs
muert	muːɐt
mull	mul
mullebutz	muləbuts
mumps	mumps
munch	munɕ
munnech	munəɕ
mupp	mup
muschel	muʃəl
musée	myːzeː
musek	muzek
museker	muzekɐ
muskel	muskəl
musse	musə
mussen	musən
muster	mustɐ
mutt	mut
muttwëlleg	mutvələɕ
muttwëlles	mutvələs
mutz	muts
naache	naːχə
naachen	naːχən
naass	naːs
nach	nɑχ
nächst	nɛːkst
nächste	nækstə
nächsten	nækstən
nadja	natjaː
nahrung	naːʀuŋ
näid	næːɪt
näipe	næːɪpə
näipen	næːɪpən
näischnotz	næːɪʃnots
näischnotzeg	næːɪʃnotsəɕ
näischt	næːɪʃt
naiv	naːiːf
namensdag	naːmənsdaːχ
nämlech	nɛːmləɕ
nappe	nɑp
narb	nɑʀp
narbe	nɑʀbə
narben	nɑʀbən
naschele	nɑʃələ
nascheleg	nɑʃələɕ
naschelen	nɑʃələn
nascht	nɑʃt
nashorn	naːshɔʀn
natierlech	nɑtiːɐləɕ
national	nɑtsjoːnaːl
nationalitéit	nɑtsjoːnɑlitɜɪt
natur	nɑtuːʀ
naupe	næːʊpə
naupen	næːʊpən
nawell	nɑvæl
nee	neː
neel	neːl
neelche	neːlɕə
neelchen	neːlɕən
neelchesblumm	neːlɕəsblum
neelcheskapp	neːlɕəskɑp
neele	neːlə
neelen	neːlən
neen	neːn
nees	neːs
nei	nɑɪ
néideg	nɜɪdəɕ
neidesch	nɑɪdəʃ
neiegkeet	nɑɪəɕkeːt
néierens	nɜɪəʀəns
néiesch	nɜɪəʃ
neijooschdag	nɑɪjoːʃdaːχ
neimoudesch	nɑɪməʊdəʃ
néitsche	nɜɪtʃə
néitschen	nɜɪtʃən
néize	nɜɪtsə
néizen	nɜɪtsən
nëmme	nəmə
nëmmen	nəmən
néng	neŋ
néngte	neŋtə
néngten	neŋtən
nerv	nɛʀf
nerve	nɛʀvə
nerven	nɛʀvən
nervös	nɛʀvøːs
nëssert	nəsɐt
net	nət
netz	næts
netze	nætsə
netzen	nætsən
nëtzlech	nətsləɕ
netzt	nætst
neveu	nəvøː
ni	niː
niddereg	nidəʀəɕ
nidderlag	nidɐlaːχ
nidderleeën	nidɐleːən
nidderschloe	nidɐʃloːə
nidderschloen	nidɐʃloːən
nidderträchteg	nidɐtʀæɕtəɕ
nieft	niəft
nier	niːɐ
niere	niːʀə
nieren	niːʀən
nies	niəs
niewebäi	niəvəbæːɪ
niewent	niəvənt
nilpäerd	niːlpɛːɐt
nimools	niːmoːls
niveau	nivoː
niwwel	nivəl
niwweleg	nivələɕ
no	noː
nobäi	noːbæːɪ
nobel	noːbəl
nodeel	noːdeːl
nodenke	noːdæŋkə
nodenken	noːdæŋkən
nogi	noːgi
noginn	noːgin
nogoe	noːgoːə
nogoen	noːgoːən
nohuele	noːhuələ
nohuelen	noːhuələn
nokucke	noːkukə
nokucken	noːkukən
nol	noːl
nolauschtere	noːlæːʊʃtəʀə
nolauschteren	noːlæːʊʃtəʀən
nolauschterer	noːlæːʊʃtəʀɐ
nole	noːlə
noléisseg	noːlɜɪsəɕ
nolen	noːlən
noliese	noːliəzə
noliesen	noːliəzən
nom	noːm
nomëtteg	noːmətəɕ
nomëttes	noːmətəs
nondikass	nondikɑs
nonzeg	nontsəɕ
nonzéng	nontseŋ
noper	noːpɐ
noperschaft	noːpɐʃɑft
nopesch	noːpəʃ
norde	nɔʀdə
norden	nɔʀdən
nördlech	nœʀtləɕ
normal	nɔʀmaːl
noss	nos
notär	notɛːʀ
notéiere	notɜɪəʀə
notéieren	notɜɪəʀən
notiz	notits
notizbuch	notitsbuχ
notze	notsə
notzen	notsən
nout	nəʊt
noutdéngscht	nəʊtdeŋʃt
noutwenneg	nəʊtvænəɕ
noutwennegkeet	nəʊtvænəɕkeːt
nouvelle	nuvæl
november	novæmbɐ
nu	nuː
nuddel	nudəl
nuebel	nuəbəl
nuecht	nuəɕt
nuechtegailche	nuəɕtəgɑɪlɕə
nuechtegailchen	nuəɕtəgɑɪlɕən
nuechtelaang	nuəɕtəlaːŋ
nuechtiesse	nuəʑdiəsə
nuechtiessen	nuəʑdiəsən
nues	nuəs
nueslach	nuəslɑχ
nuets	nuəts
nuetsdësch	nuətsdəʃ
nuetshiem	nuətshiəm
nuetspäiperlek	nuətspæːɪpɐlek
null	nul
numero	numəʀoː
numm	num
nummer	numɐ
ob	op
obwuel	opvuəl
occasioun	okɑzjəʊn
och	oχ
ochs	oks
oder	oːdɐ
ofbotze	oːfbotsə
ofbotzen	oːfbotsən
ofbrenne	oːfbʀænə
ofbrennen	oːfbʀænən
ofdanke	oːfdɑŋkə
ofdanken	oːfdɑŋkən
ofdichte	oːfdiɕtə
ofdichten	oːfdiɕtən
ofdréchne	oːfdʀəɕnə
ofdréchnen	oːfdʀəɕnən
ofdreiwe	oːfdʀɑɪvə
ofdreiwen	oːfdʀɑɪvən
offall	oːffɑl
öffentlech	œfəntləɕ
offréiere	ofʀɜɪəʀə
offréieren	ofʀɜɪəʀən
ofgerënnt	oːfgəʀənt
ofgi	oːfgi
ofginn	oːfgin
ofgoe	oːfgoːə
ofgoen	oːfgoːən
ofgotzele	oːfgotsələ
ofgotzelen	oːfgotsələn
ofhake	oːfhaːkə
ofhaken	oːfhaːkən
ofhale	oːfhaːlə
ofhalen	oːfhaːlən
ofhängeg	oːfhæŋəɕ
ofhängegkeet	oːfhæŋəɕkeːt
ofhänke	oːfhæŋkə
ofhänken	oːfhæŋkən
ofhuele	oːfhuələ
ofhuelen	oːfhuələn
ofkierze	oːfkiːɐtsə
ofkierzen	oːfkiːɐtsən
ofkierzung	oːfkiːɐtsuŋ
ofkille	oːfkilə
ofkillen	oːfkilən
oflafe	oːflaːfə
oflafen	oːflaːfən
ofléis	oːflɜɪs
ofléise	oːflɜɪzə
ofléisen	oːflɜɪzən
ofluede	oːfluədə
oflueden	oːfluədən
ofrappe	oːfʀɑpə
ofrappen	oːfʀɑpən
ofraume	oːfʀɑʊmə
ofraumen	oːfʀɑʊmən
ofrënne	oːfʀənə
ofrënnen	oːfʀənən
ofschafe	oːfʃaːfə
ofschafen	oːfʃaːfən
ofschlécke	oːfʃlekə
ofschlécken	oːfʃlekən
ofschleefe	oːfʃleːfə
ofschleefen	oːfʃleːfən
ofschreiwe	oːfʃʀɑɪvə
ofschreiwen	oːfʃʀɑɪvən
ofschwäche	oːfʃwæɕə
ofschwächen	oːfʃwæɕən
ofso	oːfzoː
ofsoe	oːfzoːə
ofsoen	oːfzoːən
ofspäre	oːfʃpɛːʀə
ofspären	oːfʃpɛːʀən
ofstand	oːfʃtɑnt
ofstänn	oːfʃtæn
ofstreide	oːfʃtʀɑɪdə
ofstreiden	oːfʃtʀɑɪdən
oft	oft
ofwiessele	oːfviəsələ
ofwiesselen	oːfviəsələn
oktober	oktoːbɐ
oliv	oliːf
